tite,soldprice,bids,link
"New ListingSEAGRAVE Fire Apparatus 12"" Script Chrome Fire Truck Name Plate Emblem Badge",79.95,1 bid,https://www.ebay.com/itm/SEAGRAVE-Fire-Apparatus-12-Script-Chrome-Fire-Truck-Name-Plate-Emblem-Badge/294029928128?hash=item44758ca6c0:g:xD0AAOSwPEBgMpen
Fire Emblem Three Houses **Case Only**,3.99,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Case-Only/383963683788?hash=item596604dbcc:g:Y9YAAOSwuI9gLBZy
Ophelia B02-097R Fire Emblem 0 Cipher Mint FE Booster 2 If Fates Heroes,3.0,0,https://www.ebay.com/itm/Ophelia-B02-097R-Fire-Emblem-0-Cipher-Mint-FE-Booster-2-If-Fates-Heroes/333667869104?hash=item4db027a1b0:g:BFgAAOSw8-Rfm1j~
Azura B02-055N Fire Emblem 0 Cipher Mint Booster 2 FE If Fates Heroes,1.0,0,https://www.ebay.com/itm/Azura-B02-055N-Fire-Emblem-0-Cipher-Mint-Booster-2-FE-If-Fates-Heroes/333692570805?hash=item4db1a08cb5:g:UDMAAOSwFf1fnP7f
Ophelia B02-098N Fire Emblem 0 Cipher FE Booster 2 If Fates Heroes,1.0,0,https://www.ebay.com/itm/Ophelia-B02-098N-Fire-Emblem-0-Cipher-FE-Booster-2-If-Fates-Heroes/333693219681?hash=item4db1aa7361:g:WsgAAOSwPjxfnQ0q
Fire Emblem 0 Cipher Shadow Dragon Trading Card TCG B13-076N Linde (Rinde),3.4,0,https://www.ebay.com/itm/Fire-Emblem-0-Cipher-Shadow-Dragon-Trading-Card-TCG-B13-076N-Linde-Rinde/383638758197?hash=item5952a6e335:g:NPgAAOSwmMBe7ROH
Tharja: P18-006PR Fire Emblem 0 Cipher Mint FE Booster Series 18 Awakening,5.0,0,https://www.ebay.com/itm/Tharja-P18-006PR-Fire-Emblem-0-Cipher-Mint-FE-Booster-Series-18-Awakening/233689960784?hash=item366901d150:g:F2EAAOSwTyxfe5nn
Tharja B08-026R Fire Emblem 0 Cipher Mint Booster 8 Awakening FE Heroes,4.0,0,https://www.ebay.com/itm/Tharja-B08-026R-Fire-Emblem-0-Cipher-Mint-Booster-8-Awakening-FE-Heroes/333663037931?hash=item4dafdde9eb:g:2AgAAOSwzVtfnRFf
"New! Fire Emblem Echoes: Shadows of Valentia (Nintendo 3DS, 2017) ",42.98,0,https://www.ebay.com/itm/New-Fire-Emblem-Echoes-Shadows-of-Valentia-Nintendo-3DS-2017/184584597494?epid=238405759&hash=item2afa196ff6:g:-F8AAOSw93xdnnCo
"Fire Emblem: Three Houses (Nintendo Switch, 2019)",34.99,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Nintendo-Switch-2019/164614304550?hash=item2653c6f326:g:HZcAAOSwLzNf64Z-
New Ike FIRE EMBLEM 11 inch Plush (Official San-Ei) 1720 All Star Collection,19.95,0,https://www.ebay.com/itm/New-Ike-FIRE-EMBLEM-11-inch-Plush-Official-San-Ei-1720-All-Star-Collection/293729705654?hash=item4463a79eb6:g:wPoAAOSw9axgIpvy
"New ListingFire Emblem: Radiant Dawn (Wii, 2007)",79.99,0,https://www.ebay.com/itm/Fire-Emblem-Radiant-Dawn-Wii-2007/383976632025?epid=56263702&hash=item5966ca6ed9:g:K84AAOSw1VFgNYyT
"New ListingFire Emblem: Three Houses (Nintendo Switch, 2019) EXCELLENT Condition",35.0,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Nintendo-Switch-2019-EXCELLENT-Condition/193913828628?epid=7033092866&hash=item2d262a3514:g:xJwAAOSwvHFgNdja
Indianapolis Colts Air Puffed Raised Flame Decal Pair Emblem Sticker Football,9.79,0,https://www.ebay.com/itm/Indianapolis-Colts-Air-Puffed-Raised-Flame-Decal-Pair-Emblem-Sticker-Football/401995627166?hash=item5d98ce7a9e:g:lP8AAOSwSgFd8tKr
GameCube Replacement Case - Case Only NO GAME - Fire Emblem: Path of Radiance,6.99,0,https://www.ebay.com/itm/GameCube-Replacement-Case-Case-Only-NO-GAME-Fire-Emblem-Path-of-Radiance/114117739197?hash=item1a91f282bd:g:~tYAAOSw9J9eSVbT
Fire Emblem™ 30th Anniversary Edition | Nintendo® Switch | New| Sealed | IN HAND,80.0,0,https://www.ebay.com/itm/Fire-Emblem-30th-Anniversary-Edition-Nintendo-Switch-New-Sealed-IN-HAND/174648853005?hash=item28a9e2020d:g:c6kAAOSwyAdf~pM8
Fire Emblem 0 Cipher Card Game Booster Part 7 Sealed Box B07 Japanese,59.8,0,https://www.ebay.com/itm/Fire-Emblem-0-Cipher-Card-Game-Booster-Part-7-Sealed-Box-B07-Japanese/164417126811?hash=item264806419b:g:-fAAAOSw~AVYs~iq
Fire Emblem 0 Cipher Card Game Booster Part 14 Sealed Box B14 Japanese,59.8,0,https://www.ebay.com/itm/Fire-Emblem-0-Cipher-Card-Game-Booster-Part-14-Sealed-Box-B14-Japanese/382843416662?hash=item59233ef056:g:FEoAAOSwtAlbq1wd
